title,duration,duration_minutes,distance_km,distance_mi,type,coach,guest,training_plans,notes,source
In Control,00:28,28,5.60,3.48,Speed - Intervals,Sally McRae,,10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run & Train: Stride Ahead,00:29,29,5.80,3.60,Speed - Intervals,Dora Atim,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Spicy Speed III,00:29,29,5.80,3.60,Speed - Intervals,Bec Wilcock,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Tempo Run With Paula,00:29,29,5.80,3.60,Speed - Tempo,Becs Gentry,Paula Radcliffe,10K; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speedy Smiles,00:30,30,6.00,3.73,Speed - Fartlek,Sashah Handal,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Movin' On Up,00:30,30,6.00,3.73,Speed - Hill,Bec Wilcock,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run & Train: Core,00:30,30,6.00,3.73,Speed - Intervals,Cory Wharton-Malcolm,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run Strong. Repeat.,00:30,30,6.00,3.73,Speed - Intervals,Chelsea Cox,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Sneaky Speed,00:30,30,6.00,3.73,Speed - Intervals,Blue Benadum,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speed Run With Sanya,00:30,30,6.00,3.73,Speed - Intervals,Chelsea Cox,Sanya Richards-Ross,5K; 10K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Up & Down,00:30,30,6.00,3.73,Speed - Intervals,Dan Fitzgerald,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
4K Tempo Run,00:30,30,6.00,3.73,Speed - Tempo,Chris Bennett,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Out Strong. Back Fast.,00:30,30,6.00,3.73,Speed - Tempo,Manal Rostom,,5K; 10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
60’s,00:31,31,6.20,3.85,Speed - Intervals,Blue Benadum,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
90’s,00:31,31,6.20,3.85,Speed - Intervals,Cory Wharton-Malcolm,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Crank & Cruise,00:32,32,6.40,3.98,Speed - Intervals,Cory Wharton-Malcolm,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
All Over The Pace,00:33,33,6.60,4.10,Speed - Intervals,Becs Gentry,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Ladder Up Ladder Down,00:33,33,6.60,4.10,Speed - Intervals,Chelsea Cox,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Slow Down 2 Speed Up,00:33,33,6.60,4.10,Speed - Intervals,Chris Bennett,Andy Puddicombe,10K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Triple 7’s,00:33,33,6.60,4.10,Speed - Intervals,Sally McRae,,10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Building Blocks,00:34,34,6.80,4.23,Speed - Intervals,Dan Fitzgerald,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
"Go Team Go, BTC!",00:34,34,6.80,4.23,Speed - Intervals,Chris Bennett,BTC,5K; 10K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Rock ‘n’ Roller,00:34,34,6.80,4.23,Speed - Intervals,Chelsea Cox,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run & Train: Lower Body,00:34,34,6.80,4.23,Speed - Intervals,Cory Wharton-Malcolm,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Tempo with Emily Infeld,00:35,35,7.00,4.35,Speed - Tempo,Chris Bennett,Emily Infeld,5K; 10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
In The Zone,00:36,36,7.20,4.47,Speed - Intervals,Sally McRae,,5K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Power Pyramid,00:37,37,7.40,4.60,Speed - Intervals,Sally McRae,,HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run Fast. Repeat.,00:37,37,7.40,4.60,Speed - Intervals,Chelsea Cox,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run With Mo,00:37,37,7.40,4.60,Speed - Intervals,Mo Farah,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Deuces,00:38,38,7.60,4.72,Speed - Intervals,Blue Benadum,,10K; HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speed Play,00:38,38,7.60,4.72,Speed - Intervals,Dan Fitzgerald,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speed- Durance,00:38,38,7.60,4.72,Speed - Intervals,Sally McRae,,10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Stronger Faster,00:38,38,7.60,4.72,Speed - Intervals,Chelsea Cox,,HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
The Rundown,00:38,38,7.60,4.72,Speed - Intervals,Cory Wharton-Malcolm,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Miami Mile Reps,00:40,40,8.05,5.00,Speed - Intervals,Frankie Ruiz,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
5K Tempo Run,00:40,40,8.00,4.97,Speed - Tempo,Shalane Flanagan,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
